review_id,app_name,app_category,rating,rating_bucket,review_text,review_length,word_count,review_date,review_day_of_week,thumbs_up_count,app_version,reply_content,has_reply,sentiment_score,sentiment_label,churn_risk,explicit_churn_mention,churn_signal,theme_cluster,complaint_theme
bc74375d-6371-4cc8-aec0-e76fe3a169a2,Amazon,marketplace,1.0,low,Diaster Delivery Speed..... worst ... to Core,45,7,2026-09-24 14:25:11,Thursday,0.0,32.17.0.300,,0,-1.0,negative,1,0,1,2,delivery_issues
273acca3-ac93-4338-8ec5-592b3e3a525b,Amazon,marketplace,1.0,low,bahut ganda app hai mera parcel kharab aaya hai mein complaint kar raha hun lekin complaint ka solution nahin kar rahe hain 😡,125,23,2026-09-24 14:23:39,Thursday,0.0,32.17.0.300,,0,-0.3,negative,1,0,1,1,non_english
a26608b7-4d88-4f03-8579-ecd9d7510d8d,Amazon,marketplace,1.0,low,very bad product received so you cannot purchased product from Amazon but you purchased from meesho because meesho is very good app better than Amazon and Flipkart Amazon is very dirty app because my order was cancellation from the Amazon but meesho was not cancelled order how was he late but he not cancelled the order he received the order,342,60,2026-09-24 14:20:32,Thursday,0.0,,,0,-0.11599999999999996,negative,1,0,1,3,returns_refunds_support
0f91d677-4315-413f-85af-61c5cc144178,Amazon,marketplace,5.0,high,good,4,1,2026-09-24 14:19:12,Thursday,0.0,32.12.2.300,,0,0.7,positive,0,0,0,-1,not_at_risk
86bc5c20-636a-436c-9dcd-af7f8cf4553e,Amazon,marketplace,5.0,high,amezon now is best no aps work in my village only amezon is working now it's taken just 10 min to dilevery it's so coooooooool,126,25,2026-09-24 14:18:54,Thursday,0.0,32.18.0.300,,0,0.5,positive,0,0,0,-1,not_at_risk
9cba109f-75ea-4218-85e1-8e87b728ba02,Amazon,marketplace,1.0,low,One of the worst return policies. They didn't provide a refund even after so many follow ups,92,17,2026-09-24 14:13:10,Thursday,0.0,32.17.0.300,,0,-0.25,negative,1,0,1,3,returns_refunds_support
5473c30d-38cf-4fe2-b60e-96cf87a33508,Amazon,marketplace,5.0,high,Pathetic customer service. I was not delivered two pieces of Veet cream . It has been 2 weeks and their only answer is that they want to help me but system is not allowing to create refund or replacement. What type of reply that is . i have shared concern with my friends and they were appalled.,295,57,2026-09-24 14:02:48,Thursday,0.0,,,0,-0.6,negative,0,0,0,-1,not_at_risk
271b661e-5deb-4493-bb07-3e6a9f9c8d8e,Amazon,marketplace,5.0,high,good,4,1,2026-09-24 13:54:57,Thursday,0.0,22.14.2.350,,0,0.7,positive,0,0,0,-1,not_at_risk
8309c69f-5b06-44e0-84ac-2d0b724561dc,Amazon,marketplace,1.0,low,"worst delivery service in my locality, Vasai(E)- 401208",55,8,2026-09-24 13:53:53,Thursday,0.0,30.12.4.300,,0,-1.0,negative,1,0,1,2,delivery_issues
37e2e83d-8192-4f14-a750-6e2c842b1f78,Amazon,marketplace,1.0,low,"Very Disappointing Amazon Prime Experience totally worst👎 My order was promised for one-day delivery, but I never received it, while the app is showing “Delivered.” Even after raising a complaint, I’m being asked to wait another 2 days. If Prime cannot provide the promised delivery service, why charge customers for Prime in the first place?",342,55,2026-09-24 13:50:48,Thursday,0.0,32.17.0.300,,0,-0.20750000000000002,negative,1,0,1,2,delivery_issues
449ff64c-8b81-4729-a77e-15ad5186a920,Amazon,marketplace,1.0,low,poor customer service and poor delivery.,40,6,2026-09-24 13:48:01,Thursday,0.0,32.17.0.300,,0,-0.4,negative,1,0,1,4,poor_service_quality
583cf11f-ac37-4cb6-8d98-9c8146a1a809,Amazon,marketplace,1.0,low,kitni dafaa product ka pement paid hota hai esiliye delivery boy parcel door ke baher rakh kar bina door knock kiye chala jata hai please Amazon service loss and mere fone me Amazon download nhi horaha bar bar likh ker araha ki aap ke cell ke liye Amazon download nhi hosakta,275,51,2026-09-24 13:46:30,Thursday,0.0,,,0,-0.5,negative,1,0,1,1,non_english
0737960c-2bb9-4f63-a47d-5053a9649c32,Amazon,marketplace,1.0,low,"Worst customer service. Refund is delayed, language settings are stuck in Hindi even after changing to English, and it's extremely difficult to find the customer support contact option in the app. Very bad experience!""",218,34,2026-09-24 13:41:20,Thursday,0.0,32.17.0.300,,0,-0.625,negative,1,0,1,3,returns_refunds_support
e9d5c04d-3c7a-40c5-a39c-718c7721b9d4,Amazon,marketplace,1.0,low,ghatiya app hai jismai na to return ka option hai or na to exchange ka.,71,15,2026-09-24 13:38:16,Thursday,0.0,32.17.0.300,,0,0.0,neutral,0,0,0,-1,not_at_risk
c621ef8d-a7a4-46cb-a357-af5ba1d0ea62,Amazon,marketplace,5.0,high,you beb,7,2,2026-09-24 13:30:10,Thursday,0.0,32.17.0.300,,0,0.0,neutral,0,0,0,-1,not_at_risk
